date,close,high,low,open,volume,sma,std,upper_band,lower_band,signal,position_pct,cash,shares,portfolio_value,pending_signal,buy_hold_value,buy_hold_return_pct,strategy_return_pct,outperformance
2023-12-11,56.469093322753906,56.516915333930335,55.95260684544313,56.268238686661576,14524800,53.488999938964845,1.9497524047189507,56.41362854604327,50.56437133188642,sell,0.0,10000.0,0,10000.0,,10000.0,0.0,0.0,0.0
2023-12-12,56.83253860473633,56.83253860473633,56.33518535327073,56.62212104406558,12899000,53.572752227783205,2.001995189227758,56.57574501162484,50.56975944394157,sell,0.0,10000.0,0,10000.0,sell,10064.329814910889,0.643298149108884,0.0,-0.643298149108884
2023-12-13,57.32032775878906,57.406408823671576,56.67950124275591,56.86122996227731,16196800,53.67764717102051,2.058550630208055,56.76547311633259,50.58982122570843,sell,0.0,10000.0,0,10000.0,sell,10150.668495178223,1.5066849517822334,0.0,-1.5066849517822334
2023-12-14,56.469093322753906,57.425548140624734,56.21085008409852,57.35859659526062,22478300,53.762480926513675,2.0847993918516177,56.8896800142911,50.63528183873625,hold,0.0,10000.0,0,10000.0,hold,10000.0,0.0,0.0,0.0
2023-12-15,56.04824447631836,56.593423368448256,55.28308143899441,56.26823227009759,65177400,53.88937911987305,2.0249259343073507,56.92676802133408,50.85199021841202,hold,0.0,10000.0,0,10000.0,hold,9925.509754180908,-0.7449024581909214,0.0,0.7449024581909214
2023-12-18,56.44995880126953,56.89949369350025,56.067375448487816,56.23953759238106,16717700,54.00988830566406,1.9935660866226765,57.00023743559808,51.019539175730046,hold,0.0,10000.0,0,10000.0,hold,9996.613189697266,-0.033868103027345775,0.0,0.033868103027345775
2023-12-19,56.26823425292969,56.622121486052905,56.086505516759026,56.43082980783471,14612200,54.13169731140137,1.939988493543027,57.04168005171591,51.22171457108683,hold,0.0,10000.0,0,10000.0,hold,9964.447944641113,-0.3555205535888617,0.0,0.3555205535888617
2023-12-20,55.10136032104492,56.11520005020138,55.0631012542806,55.952604489331165,17701000,54.208344345092776,1.899869672828393,57.058148854335364,51.35853983585019,hold,0.0,10000.0,0,10000.0,hold,9757.91125869751,-2.420887413024897,0.0,2.420887413024897
2023-12-21,55.464813232421875,55.54132771608805,54.96745631854294,55.330906500981676,11725100,54.2983332824707,1.8490076839295462,57.07184480836502,51.52482175657638,hold,0.0,10000.0,0,10000.0,hold,9822.24242401123,-1.7775757598876951,0.0,1.7775757598876951
2023-12-22,55.78044128417969,55.9143443667409,55.493505586036335,55.589149602555665,9029400,54.41171493530273,1.7586274731696976,57.04965614505728,51.77377372554819,hold,0.0,10000.0,0,10000.0,hold,9878.108589172363,-1.21891410827637,0.0,1.21891410827637
2023-12-26,56.00999069213867,56.153456713486094,55.531763323810054,55.531763323810054,6422500,54.52816925048828,1.6633889095996095,57.023252614887696,52.03308588608887,hold,0.0,10000.0,0,10000.0,hold,9918.738834381104,-0.8126116561889662,0.0,0.8126116561889662
2023-12-27,56.1534538269043,56.21084242164436,55.85695520887671,56.08650229066677,8560100,54.637244873046875,1.5841405324559814,57.013455671730846,52.261034074362904,hold,0.0,10000.0,0,10000.0,hold,9944.13180923462,-0.558681907653813,0.0,0.558681907653813
2023-12-28,56.19171905517578,56.30649260866327,55.98129783329415,56.09607503536712,8400100,54.73493980407715,1.5240522049892224,57.021018111560984,52.44886149659332,hold,0.0,10000.0,0,10000.0,hold,9950.904754638672,-0.4909524536132803,0.0,0.4909524536132803
2023-12-29,56.36387634277344,56.41169834854841,56.07694065953839,56.182151261394445,9244300,54.83645744323731,1.4573580444991112,57.022494509985975,52.65042037648864,hold,0.0,10000.0,0,10000.0,hold,9981.376594543457,-0.1862340545654262,0.0,0.1862340545654262
2024-01-02,57.215126037597656,57.27251463928251,56.115201554443836,56.23954170046826,16322600,54.94930671691895,1.417382532936697,57.07538051632399,52.823232917513906,sell,0.0,10000.0,0,10000.0,sell,10132.047790527344,1.3204779052734317,0.0,-1.3204779052734317
2024-01-03,57.34902572631836,57.578576470863254,57.157734047295165,57.320333251469734,14830600,55.06065879821777,1.3816795479466994,57.13317812013782,52.988139476297725,sell,0.0,10000.0,0,10000.0,sell,10155.748035430908,1.557480354309071,0.0,-1.557480354309071
