date,close,high,low,open,volume,short_ma,long_ma,signal,position_pct,cash,shares,portfolio_value,pending_signal,buy_hold_value,buy_hold_return_pct,strategy_return_pct,outperformance
2023-12-11,56.469093322753906,56.516915333930335,55.95260684544313,56.268238686661576,14524800,55.33869380950928,53.488999938964845,hold,0.0,10000.0,0,10000.0,,10000.0,0.0,0.0,0.0
2023-12-12,56.83253860473633,56.83253860473633,56.33518535327073,56.62212104406558,12899000,55.47927951812744,53.572752227783205,hold,0.0,10000.0,0,10000.0,hold,10064.329814910889,0.643298149108884,0.0,-0.643298149108884
2023-12-13,57.32032775878906,57.406408823671576,56.67950124275591,56.86122996227731,16196800,55.636189460754395,53.67764717102051,hold,0.0,10000.0,0,10000.0,hold,10150.668495178223,1.5066849517822334,0.0,-1.5066849517822334
2023-12-14,56.469093322753906,57.425548140624734,56.21085008409852,57.35859659526062,22478300,55.745318222045896,53.762480926513675,hold,0.0,10000.0,0,10000.0,hold,10000.0,0.0,0.0,0.0
2023-12-15,56.04824447631836,56.593423368448256,55.28308143899441,56.26823227009759,65177400,55.836251449584964,53.88937911987305,hold,0.0,10000.0,0,10000.0,hold,9925.509754180908,-0.7449024581909214,0.0,0.7449024581909214
2023-12-18,56.44995880126953,56.89949369350025,56.067375448487816,56.23953759238106,16717700,55.94205150604248,54.00988830566406,hold,0.0,10000.0,0,10000.0,hold,9996.613189697266,-0.033868103027345775,0.0,0.033868103027345775
2023-12-19,56.26823425292969,56.622121486052905,56.086505516759026,56.43082980783471,14612200,56.03212299346924,54.13169731140137,hold,0.0,10000.0,0,10000.0,hold,9964.447944641113,-0.3555205535888617,0.0,0.3555205535888617
2023-12-20,55.10136032104492,56.11520005020138,55.0631012542806,55.952604489331165,17701000,56.03396053314209,54.208344345092776,hold,0.0,10000.0,0,10000.0,hold,9757.91125869751,-2.420887413024897,0.0,2.420887413024897
2023-12-21,55.464813232421875,55.54132771608805,54.96745631854294,55.330906500981676,11725100,56.03546714782715,54.2983332824707,hold,0.0,10000.0,0,10000.0,hold,9822.24242401123,-1.7775757598876951,0.0,1.7775757598876951
2023-12-22,55.78044128417969,55.9143443667409,55.493505586036335,55.589149602555665,9029400,56.045638465881346,54.41171493530273,hold,0.0,10000.0,0,10000.0,hold,9878.108589172363,-1.21891410827637,0.0,1.21891410827637
2023-12-26,56.00999069213867,56.153456713486094,55.531763323810054,55.531763323810054,6422500,56.0725061416626,54.52816925048828,hold,0.0,10000.0,0,10000.0,hold,9918.738834381104,-0.8126116561889662,0.0,0.8126116561889662
2023-12-27,56.1534538269043,56.21084242164436,55.85695520887671,56.08650229066677,8560100,56.10085334777832,54.637244873046875,hold,0.0,10000.0,0,10000.0,hold,9944.13180923462,-0.558681907653813,0.0,0.558681907653813
