date,close,high,low,open,volume,sma,std,upper_band,lower_band,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-09-27,70.22834014892578,70.62941746440163,69.90551690689314,69.98377844376728,11175700,67.80145751953125,2.2412061826592993,71.16326679352021,64.4396482455423,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-09-30,70.29682159423828,70.62942195193921,70.13052141538782,70.43377556075411,18015300,67.93869705200196,2.177552711498829,71.2050261192502,64.6723679847537,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-01,70.15008544921875,71.16746313744837,70.07182390471685,70.5316011493759,13294500,68.08310646057129,2.075619832379683,71.19653620914082,64.96967671200176,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-02,69.46530151367188,69.87616334388284,68.87835497573762,69.8370325795632,11155500,68.21012802124024,1.956233511313562,71.14447828821058,65.2757777542699,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-03,68.9859619140625,69.44573910995629,68.67292323268835,69.3185697112024,9374800,68.31104583740235,1.8592018249944413,71.09984857489401,65.52224309991068,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-04,68.6435775756836,68.75118532296983,68.20336949200782,68.43814663907284,12684800,68.4000636291504,1.7620051049187806,71.04307128652857,65.75705597177222,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-07,67.5088119506836,68.57509735169447,67.37185799942404,68.52618949106211,14512000,68.44734313964844,1.703624559227795,71.00277997849012,65.89190630080675,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-08,67.67511749267578,67.9294637638542,67.36207879869895,67.53816353052537,13549700,68.50222366333008,1.6306766294248625,70.94823860746737,66.0562087191928,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-09,68.05663299560547,68.2229331687345,67.56750957103925,67.68490187977036,9037700,68.54821746826173,1.583411580681458,70.92333483928391,66.17310009723954,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-10,67.74359130859375,68.38923778293473,67.48924504929904,68.31097624723931,8635200,68.60621627807618,1.4956251546004846,70.8496540099769,66.36277854617545,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-11,68.05663299560547,68.07619464867841,67.49903259013723,67.9490252451264,8786300,68.6467692565918,1.451146796864171,70.82348945188805,66.47004906129554,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-14,68.80987548828125,68.93705234732208,67.95880555928217,68.05662874540002,7659300,68.67576553344726,1.43934843705392,70.83478818902815,66.51674287786638,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-15,68.80987548828125,69.66095288071104,68.63379823132753,68.9272677896811,10358700,68.72866302490235,1.3930484229281197,70.81823565929453,66.63909039051016,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-16,69.03487396240234,69.16204335511847,68.44792739562176,68.56531223091957,7937300,68.78703186035156,1.3415516502036489,70.79935933565703,66.77470438504609,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-17,68.37944793701172,69.15226374951916,68.06640928186961,69.09356387057171,14674600,68.82432525634766,1.3024445499655826,70.77799208129603,66.87065843139929,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
