date,close,high,low,open,volume,sma,std,upper_band,lower_band,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength,buy_hold_value,buy_hold_return_pct,strategy_return_pct,outperformance
2024-03-13,50.244632720947266,51.0709244681701,49.80659506431831,49.8364636848741,847700,46.38414710998535,4.794949686337649,53.576571639491824,39.191722580478874,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,10000.0,0.0,0.0,0.0
2024-03-14,48.81106185913086,49.35860894561778,48.044499735712414,48.81106185913086,1127600,46.176876831054685,4.441760045492504,52.83951689929344,39.514236762815926,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9714.719398498535,-2.852806015014653,0.0,2.852806015014653
2024-03-15,50.09530258178711,50.52338277909794,48.80110831446602,49.199319890284606,1052000,46.03033416748047,4.176098437686157,52.29448182400971,39.76618651095123,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9970.283302307129,-0.29716697692870886,0.0,0.29716697692870886
2024-03-18,49.94596862792969,51.419363165153165,49.776729570269055,51.419363165153165,1008900,45.93018333435059,4.014661196587878,51.9521751292324,39.908191539468774,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9940.565845489502,-0.5943415451049816,0.0,0.5943415451049816
2024-03-19,47.8553466796875,48.86083872635665,47.68610762494571,48.60199761036412,930900,45.79917091369629,3.8353001692142015,51.55212116751759,40.04622065987498,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9524.532077789307,-4.7546792221069385,0.0,4.7546792221069385
2024-03-20,50.28445053100586,51.001236651928686,47.53677673024017,47.61642132041519,1034500,45.72848785400391,3.7151742652921147,51.30124925194208,40.155726456065736,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,10007.92374420166,0.07923744201661087,0.0,-0.07923744201661087
2024-03-21,49.3088264465332,50.88177290308037,49.27896162443723,49.428293330243164,856600,45.6675611114502,3.6282448142973664,51.109928332896246,40.22519389000415,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9813.774551391602,-1.8622544860839807,0.0,1.8622544860839807
2024-03-22,47.755794525146484,48.840927358057485,47.55668685166811,48.49248798005458,878100,45.61917808532715,3.5827563699311304,50.99331264022385,40.24504353043045,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9504.721199035645,-4.95278800964355,0.0,4.95278800964355
2024-03-25,46.143028259277344,47.28789459484951,46.09325228765751,46.7702161351442,928200,45.54630500793457,3.5329695605962654,50.84575934882897,40.24685066704017,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9183.780712127686,-8.16219287872314,0.0,8.16219287872314
2024-03-26,45.655216217041016,46.8996344357887,45.655216217041016,46.15298350454009,960600,45.49075416564941,3.508409070081474,50.753367770771625,40.2281405605272,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9086.706115722656,-9.132938842773441,0.0,9.132938842773441
2024-03-27,48.273475646972656,48.691598366678775,45.94392447209558,45.94392447209558,1348900,45.47462661743164,3.4933951646465906,50.714719364401525,40.23453387046175,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9607.739742279053,-3.9226025772094775,0.0,3.9226025772094775
2024-03-28,48.94047927856445,49.438246563251916,48.00467815051071,48.88074583724328,844300,45.48537841796875,3.5034045004505168,50.740485168644526,40.23027166729297,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9740.47346496582,-2.595265350341802,0.0,2.595265350341802
2024-04-01,48.771240234375,49.726952509726395,48.482534297759585,49.57762080522517,649100,45.506085510253904,3.519998195793598,50.7860828039443,40.226088216563504,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9706.79489517212,-2.9320510482788054,0.0,2.9320510482788054
2024-04-02,47.90512466430664,48.38298082432424,47.41731482909965,47.56664274291961,815100,45.51086402893066,3.523151232214326,50.79559087725215,40.22613718060917,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0,9534.437896728516,-4.655621032714841,0.0,4.655621032714841
