date,close,high,low,open,volume,sma,std,upper_band,lower_band,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-10-11,62445.08984375,63400.87109375,60046.125,60275.4609375,30327141594,60782.5646875,3038.368964309833,65340.11813396475,56225.01124103525,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-12,63193.0234375,63448.78515625,62443.26953125,62444.6171875,16744110886,60764.538046875,3020.9429444883626,65295.952463607544,56233.12363014246,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-13,62851.375,63272.65234375,62035.63671875,63192.9453125,18177529690,60737.985703125,2996.0513382886957,65232.06271055804,56243.90869569196,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-14,66046.125,66482.4921875,62442.15234375,62848.3984375,43706958056,60772.23734375,3047.345815562801,65343.256067094204,56201.218620405794,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-15,67041.109375,67881.6796875,64809.1953125,66050.3671875,48863870879,60855.446328125,3160.782105795904,65596.61948681886,56114.273169431144,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-16,67612.71875,68375.2890625,66758.7265625,67042.4609375,38195189534,61017.618046875,3295.192328298742,65960.40653932311,56074.82955442689,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-17,67399.8359375,67912.2109375,66647.390625,67617.078125,32790898511,61185.062265625,3402.9611538039253,66289.50399633088,56080.62053491911,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-18,68418.7890625,68969.75,67177.8203125,67419.109375,36857165014,61365.674453125,3542.436796374837,66679.32964768725,56052.019258562745,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-19,68362.734375,68668.0078125,68024.640625,68418.9765625,14443497908,61550.539609375,3661.9910683411426,67043.52621188671,56057.55300686329,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-20,69001.703125,69359.0078125,68105.71875,68364.1796875,18975847518,61751.175703125,3790.2833274602845,67436.60069431542,56065.750711934576,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-21,67367.8515625,69462.734375,66829.8515625,69002.0,37498611780,61952.02296875,3816.9586535067915,67677.46094901019,56226.58498848982,hold,0.0,10000,0,10000,0.0,0.02,1,0.9
2024-10-22,67361.40625,67801.578125,66581.3671875,67360.703125,31808472566,62117.001484375,3869.628008039828,67921.44349643475,56312.55947231526,hold,0.0,10000,0,10000,0.0,0.02,1,0.8
2024-10-23,66432.1953125,67402.7421875,65188.03515625,67362.375,32263980353,62297.024921875,3856.5319905846463,68081.82290775198,56512.226935998035,hold,0.0,10000,0,10000,0.0,0.02,1,0.7000000000000001
2024-10-24,68161.0546875,68798.9609375,66454.1015625,66653.703125,31414428647,62500.815234375,3892.3514830822496,68339.34245899838,56662.288009751624,hold,0.0,10000,0,10000,0.0,0.02,1,0.6000000000000001
2024-10-25,66642.4140625,68722.15625,65521.79296875,68165.296875,41469984306,62710.45375,3825.5992806348686,68448.8526709523,56972.0548290477,hold,0.0,10000,0,10000,0.0,0.02,1,0.5000000000000001
2024-10-26,67014.6953125,67317.921875,66360.59375,66628.734375,19588098156,62971.772578125,3657.4498133554025,68457.9472981581,57485.597858091896,hold,0.0,10000,0,10000,0.0,0.02,1,0.40000000000000013
2024-10-27,67929.296875,68221.3125,66847.2265625,67023.4765625,16721307878,63247.564765625,3494.1299799311405,68488.75973552171,58006.369795728286,hold,0.0,10000,0,10000,0.0,0.02,1,0.30000000000000016
2024-10-28,69907.7578125,70212.265625,67535.1328125,67922.671875,38799856657,63548.88859375,3402.86743446344,68653.18974544517,58444.58744205484,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-29,72720.4921875,73577.2109375,69729.9140625,69910.046875,58541874402,63862.907734375,3510.7743409634786,69129.06924582022,58596.74622292978,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-30,72339.5390625,72905.296875,71411.734375,72715.3671875,40646637831,64156.724296875,3593.849381327978,69547.49836886696,58765.95022488303,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-10-31,70215.1875,72662.3125,69590.5,72335.046875,40627912076,64414.164609375,3556.651197980985,69749.14140634648,59079.18781240353,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-01,69482.46875,71559.015625,68779.703125,70216.8984375,49989795365,64641.27375,3509.2272152516816,69905.11457287753,59377.43292712248,hold,0.0,10000,0,10000,0.0,0.02,1,0.9
2024-11-02,69289.2734375,69867.3515625,69033.71875,69486.0234375,18184612091,64815.633203125,3519.4453034325916,70094.80115827388,59536.46524797611,hold,0.0,10000,0,10000,0.0,0.02,1,0.8
2024-11-03,68741.1171875,69361.65625,67482.5234375,69296.3828125,34868307655,64990.353125,3492.5001633265806,70229.10336998987,59751.602880010134,hold,0.0,10000,0,10000,0.0,0.02,1,0.7000000000000001
2024-11-04,67811.5078125,69433.1796875,66803.6484375,68742.1328125,41184819348,65162.9265625,3411.9325138436247,70280.82533326543,60045.02779173456,hold,0.0,10000,0,10000,0.0,0.02,1,0.6000000000000001
2024-11-05,69359.5625,70522.7890625,67458.8671875,67811.171875,46046889204,65386.26765625,3310.323505696074,70351.75291479411,60420.78239770589,hold,0.0,10000,0,10000,0.0,0.02,1,0.5000000000000001
2024-11-06,75639.078125,76460.15625,69322.03125,69358.5,118592653963,65692.8784375,3532.9069090805356,70992.2388011208,60393.51807387919,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
