date,close,high,low,open,volume,short_ma,long_ma,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-09-27,22.499441146850586,22.671482914094867,22.375186632520595,22.661924734297454,1343000,20.38283042907715,20.307934875488282,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-09-30,22.642812728881836,22.767065434065113,22.470769119369148,22.68104362930877,1467200,20.49370288848877,20.320404930114748,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-01,22.547229766845703,22.604577021434107,21.992868111060858,22.031099006441007,2182300,20.63850603103638,20.319495887756347,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-02,21.887731552124023,22.47076778917282,21.830384293360098,22.461209608872753,1802500,20.750812149047853,20.31612449645996,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-03,21.878173828125,21.973753810082663,21.467181181832622,21.782595669203864,1119500,20.856427669525146,20.324769172668457,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-04,21.70612907409668,22.231818035467402,21.59143456025914,22.069332621667204,815600,20.992150592803956,20.33718635559082,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-07,21.514970779418945,21.945077937587083,21.49585441957954,21.706128908703757,1142500,21.08868589401245,20.344115753173828,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-08,20.979724884033203,21.256904801881053,20.865028551210266,21.256904801881053,1356500,21.18522129058838,20.338120727539064,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-09,20.44447898864746,20.769449824274695,20.43492080841884,20.769449824274695,1171300,21.230143737792968,20.330298767089843,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-10,20.702545166015625,20.788566968279014,20.492270662169865,20.597407002574474,913000,21.276977825164796,20.327453155517578,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-11,20.119508743286133,20.578292292537377,19.899676060687813,20.37757414792061,1999400,21.2889253616333,20.327743530273438,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-14,19.727630615234375,19.99525417538452,19.708516079037928,19.918790561489672,1381200,21.263118743896484,20.32648494720459,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-15,19.04901695251465,19.479124112449593,18.98211151583831,19.354871419055875,2713600,21.208160495758058,20.32460117340088,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-16,19.0012264251709,19.268850000158487,18.924762807036796,19.020342785463537,2030000,21.152724266052246,20.31473316192627,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-17,19.27840805053711,19.307082590783054,18.762277264328777,18.97255358005948,1419400,21.072915267944335,20.311518516540527,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-18,19.498241424560547,19.603379586207154,19.240176022175152,19.39310508595045,1302400,21.016045475006102,20.313255424499513,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-21,19.230619430541992,19.354872128490072,19.02990129011942,19.354872128490072,1312700,20.942449188232423,20.310009803771973,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-22,19.0299015045166,19.230619647200534,18.982112425468124,19.11592330523307,1141900,20.808159828186035,20.293871803283693,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-23,18.351285934448242,18.80050944724159,18.255705959397037,18.77183490781531,2452000,20.63611650466919,20.261572113037108,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-24,18.38951873779297,18.494656903556635,18.274824214265863,18.399076918592993,1280300,20.42392978668213,20.23725040435791,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-25,18.49465560913086,18.676257385547963,18.456422888606646,18.542444686749672,914500,20.223690509796143,20.213921737670898,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-28,18.188800811767578,18.44686437854461,18.169684451847374,18.399075301780528,1700300,20.00098991394043,20.18651050567627,sell,0.0,10000.0,0,10000.0,0.0,0.02,1,1.0
2024-10-29,18.51377296447754,18.66670020872107,18.341729358944427,18.47554024189838,1808600,19.79931707382202,20.16171463012695,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-30,18.322612762451172,18.39907638359139,18.083663718508426,18.34172912349536,1611000,19.62106113433838,20.128101654052735,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
