date,close,high,low,open,volume,short_ma,long_ma,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-09-27,87.95319366455078,88.75956206789463,87.72701377586921,87.96302202737868,9181000,81.10249862670898,77.9255891418457,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-09-30,86.93048095703125,88.25803768351219,86.27162052647238,88.20886585926337,12027100,81.37046928405762,78.24071884155273,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-01,87.64834594726562,88.14987006986912,86.25195309871283,86.53713318793571,20623400,81.7544776916504,78.52791259765625,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-02,81.71858215332031,83.81317881035025,80.41068966365974,81.51207399746343,33208800,81.85674858093262,78.72509826660156,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-03,80.7352066040039,82.38727937201875,80.61720622936738,81.03022254572933,18143800,81.91919250488282,78.94784652709961,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-04,80.8827133178711,82.15126984346853,80.7352053493008,81.25639366935782,10322600,81.99884605407715,79.16727920532226,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-07,79.486328125,81.09906506249085,78.75862407809322,80.77454900124062,12767400,82.06473274230957,79.33626693725586,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-08,79.42731475830078,80.06651096896191,78.60128211872674,79.4076505298873,10569600,82.19650535583496,79.48469009399415,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-09,81.07939147949219,81.55141551258852,79.7223345760124,79.79117063265484,11750600,82.39563903808593,79.65107818603515,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-10,80.7352066040039,82.0627633366342,80.66637055127691,82.01359901472466,8370200,82.5775634765625,79.80000915527344,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
